ID	日本語	English	한국어
t_Language	言語	Language	언어
t_FAQ	よくある質問	FAQ	자주 묻는 질문
t_Case	ケース	Case	케이스
t_Cigarette	タバコ	Cigarette	담배
t_Lighter	ライター	Lighter	라이터
t_Motion	モーション	Motion	모션
t_overrideMotion	上書きするモーション	Override Motion	오버라이드 모션
t_HowToUse	導入方法	How to Use	사용 방법
t_HandGesture	ハンドジェスチャー	Hand Gestures	핸드 제스처
t_Taking_out_the_case	ケース取り出し	Taking out the case	케이스 꺼내기
t_Taking_out_the_lighter	ライター取り出し	Taking out the lighter	라이터 꺼내기
t_Lighting_the_lighter	ライター着火	Lighting the lighter	라이터 켜기
t_Putting_out_the_cigarette	タバコを捨てる	Putting out the cigarette	담배를 끄다
t_Exhaling_smoke	煙を吐く	Exhaling smoke	연기를 뱉다
t_Switching_hands	タバコを持ち替える	Switching hands (with the cigarette)	담배를 고쳐 잡다
t_BuildSettings	ビルド時の設定	Build Settings	빌드 시 설정
t_MinMaxContactSize	コンタクトの最小・最大サイズ	Min/Max Contact Size	콘택트 최소/최대 크기
t_Cigarette_Burning_Animation_Duration	タバコの燃焼アニメーションの長さ	Cigarette Burning Animation Duration	담배 연소 애니메이션 길이
t_Hide_Mesh_on_Build	ビルド時にメッシュを非表示	Hide Mesh on Build	빌드 시 메시 숨기기
t_Expression_Menu	エクスプレッションメニュー	Expression Menu	익스프레션 메뉴
t_Advanced_Settings	詳細設定	Advanced Settings	상세 설정
t_Pocket_Detection	ポケット判定	Pocket Detection	포켓 판정
t_Contact_Size	コンタクトサイズ	Contact Size	콘택트 크기
t_Receive_from_Others	他の人から受け取る	Receive from Others	다른 사람에게서 받기
t_Jiggle_Cigarette_with_LipSync	リップシンクでタバコ揺れる	Jiggle Cigarette with Lip Sync	립싱크로 담배 흔들기
t_Disable_Extinguishing_Cigarette	タバコ消せなくする	Disable Extinguishing Cigarette	담배 끌 수 없게 하기
t_Hand-Switching_Feature	タバコ持ち替える機能	Hand-Switching Feature	담배 고쳐 잡는 기능
t_Smoking_Speed	タバコ吸うスピード	Smoking Speed	담배 피우는 속도
t_Normal	通常	Normal	보통
t_Fast	早め	Fast	빠름
t_Stop	ストップ	Stop	멈춤
t_Restore_Cigarette_Length	タバコの長さ回復	Restore Cigarette Length	담배 길이 회복
t_Add-on_Features	追加機能	Add-on Features	추가 기능
t_ErrorMultipleTabaccoPrefab	さたにあ式タバコがアバターに複数導入されています。\n誤ってプレハブを導入していないか確認してください。	Multiple instances of "Satania's Cigarette" have been added to the avatar.\nPlease check if you have accidentally added a prefab incorrectly.	사타니아식 담배가 아바타에 중복으로 도입되었습니다.\n실수로 프리팹을 잘못 도입하지 않았는지 확인해 주세요.
t_Version	バージョン	Version	버전
t_MsgLatestVersion	アップデートがあります。BOOTHから最新版をダウンロードしてください。	An update is available. Please download the latest version from BOOTH.	업데이트가 있습니다. BOOTH에서 최신 버전을 다운로드하세요.
t_ErrorCheckVersion	最新バージョンの取得に失敗しました。	Failed to fetch the latest version.	최신 버전 정보를 불러오지 못했습니다.
t_Exhale_Smoke_Feature	煙を吐く機能	Exhale Smoke Feature	연기 내뿜는 기능
t_LipSync_Cigarette_Jiggle_Feature	リップシンクでタバコが揺れる機能	Lip Sync Cigarette Jiggle Feature	립싱크로 담배가 흔들리는 기능
t_DesktopMode_Arm_Control_Feature	デスクトップで腕を動かせる機能	Desktop Mode Arm Control Feature	데스크톱 모드에서 팔을 움직이는 기능
t_Estimated_Parameter_Usage	推定使用パラメータ	Estimated Parameter Usage	추정 사용 파라미터
t_Target_Motion	モーション	Target Motion	타겟 모션
t_Cigarette_Mesh	タバコのメッシュ	Cigarette Mesh	담배 메시
t_Burning_Tip_ShapeKey	タバコの先端が燃えている状態のシェイプキー	Burning Tip Shape Key	담배 끝이 타는 셰이프 키
t_Shorten_Cigarette_ShapeKey	タバコが短くなるシェイプキー	Shorten Cigarette Shape Key	담배가 짧아지는 셰이프 키
t_ShapeKey_Name	シェイプキーの名前	Shape Key Name	셰이프 키 이름
t_Maximum_Value	最大値	Maximum Value	최댓값
t_For_Cigarette_Tip	タバコの先端用	For Cigarette Tip	담배 끝 용
t_Cigarette_Tip_Start_Position	タバコの先端 スタート位置	Cigarette Tip Start Position	담배 끝 시작 위치
t_Cigarette_Tip_Final_Position	タバコの先端 最終位置	Cigarette Tip Final Position	담배 끝 최종 위치
t_Cigarette_Tip_Object	タバコの先端オブジェクト	Cigarette Tip Object	담배 끝 오브젝트
t_Cigarette_Smoke	タバコの煙	Cigarette Smoke	담배 연기
t_Smoke_from_the_cigarette	タバコから出る煙	Smoke from the cigarette	담배에서 나오는 연기
t_Contact	コンタクト	Contact	콘택트
t_Fire_Sender	炎センダー	Fire Sender	불꽃 센더
t_Fire_Receiver	炎レシーバー	Fire Receiver	불꽃 리시버
t_ErrorNotFoundAvatar	アバター内にこのオブジェクトが存在していません。\nこのオブジェクトをアバターに入れてください。	This object is not found in the avatar.\nPlease add this object to the avatar.	아바타 내에 이 오브젝트가 존재하지 않습니다.\n이 오브젝트를 아바타에 넣어주세요.
t_ErrorNotHasSatabako	さたにあ式タバコがないアバターでは動作しません。\nさたにあ式タバコを導入済みのアバター内に配置してください。	This will not work on an avatar without "Satania's Cigarette".\nPlease place it inside an avatar that already has "Satania's Cigarette" installed.	사타니아식 담배가 없는 아바타에서는 작동하지 않습니다.\n사타니아식 담배가 도입된 아바타 내에 배치해 주세요.
t_ObjectisDeactive_NotFollow	このオブジェクトが無効中です。\nエディタ上では位置・回転が追従されませんが、アバタービルド時は追従されます。	This object is currently disabled.\nIts position and rotation will not be tracked in the editor, but they will be when the avatar is built.	이 오브젝트가 비활성화되어 있습니다.\n에디터 상에서는 위치와 회전이 추적되지 않지만, 아바타 빌드 시에는 추적됩니다.
t_ScriptIsDisable_NotFollow	スクリプトが無効中です。\nエディタ上では位置・回転が追従されませんが、アバタービルド時は追従されます。	The script is currently disabled.\nPosition and rotation will not be tracked in the editor, but they will be at avatar build time.	스크립트가 비활성화되어 있습니다.\n에디터 상에서는 위치와 회전이 추적되지 않지만, 아바타 빌드 시에는 추적됩니다.
t_Delete	削除する	Delete	삭제하다
t_ErrorSomeTargetObject	同じ追従するオブジェクトが選択された {0} が{1}個存在します。\nFXによってはさたにあ式タバコが壊れる可能性があります。	There are {1} instance(s) of {0} targeting the same tracking object.\nDepending on your FX Layer, this may cause "Satania's Cigarette" to break or malfunction.	동일한 추적 대상을 가진 {0}이(가) {1}개 존재합니다.\nFX에 따라 사타니아식 담배가 고장 날 가능성이 있습니다.
t_TargetFollowObject	追従するオブジェクト	Tracking Object	추적 오브젝트
t_AlsoTrackScale	オブジェクトのスケールも追従する	Track Scale	스케일도 추적
t_MsgDonotParameterRename	圧縮するパラメータをMA Parametersで自動リネームしないでください。	Do not use MA Parameters to auto-rename the parameters you are compressing.	압축하려는 파라미터를 MA Parameters에서 자동으로 리네임하지 마십시오.
t_ExpressionMenuExplanation	Expression Menu の説明	Expression Menu Explanation	익스프레션 메뉴 설명
t_Fire_Sender_VRC	炎センダー (VRC)	Fire Sender (VRC)	불꽃 센더 (VRC)
t_Fire_Receiver_VRC	炎レシーバー (VRC)	Fire Receiver (VRC)	불꽃 리시버 (VRC)
