ID	日本語	English
t_Case	ケース	Case
t_CaseMaterial	ケース マテリアル	Case Material
t_Cigarette	タバコ	Cigarette
t_CigaretteMaterial	タバコ マテリアル	Cigarette Material
t_Lighter	ライター	Lighter
t_LighterMaterial	ライター マテリアル	Lighter Material
t_Language	言語	Language
t_UseFire	火をつける	Use Fire
t_PutoutCigarette	タバコを捨てる	Put out cigarette
t_ExhaleSmoke	煙を吐く	Exhale smoke
t_MoveCigarette	タバコを持ち替える	Move cigarette
t_Materials	使用するマテリアル	Materials
t_Sounds	サウンド	Sound
t_LighterSound	ライターの音	Lighter sound
t_Version	バージョン	Version
t_HandgestureForUse	使用するハンドジェスチャー	Hand Gesture to Use
t_MaterialColorNames	黒 英語版|黒 日本語版|白 英語版|白 日本語版|カスタム	Black English|Black Japanese|White English|White Japanese
t_LighterSoundAudioNames	パターン1|パターン2|カスタム|無し	Pattern1|Pattern2|Custom|None
t_Message_CanUpdate	アップデートがあります。BOOTHから再ダウンロードしてください。	An update is available.Please re-download it from BOOTH.
